Ngay,HVN
18/11/2022,9.30
17/11/2022,9.42
16/11/2022,9.21
15/11/2022,8.61
14/11/2022,9.25
11/11/2022,9.90
10/11/2022,9.76
09/11/2022,10.40
08/11/2022,10.25
07/11/2022,10.10
04/11/2022,10.70
03/11/2022,10.85
02/11/2022,10.90
01/11/2022,10.90
31/10/2022,10.80
28/10/2022,10.75
27/10/2022,10.85
26/10/2022,10.55
25/10/2022,10.55
24/10/2022,10.55
21/10/2022,11.15
20/10/2022,11.70
19/10/2022,11.80
18/10/2022,11.65
17/10/2022,11.45
14/10/2022,11.65
13/10/2022,11.60
12/10/2022,11.40
11/10/2022,11.00
10/10/2022,11.25
07/10/2022,11.35
06/10/2022,12.20
05/10/2022,12.60
04/10/2022,12.40
03/10/2022,12.50
30/09/2022,13.35
29/09/2022,13.60
28/09/2022,13.65
27/09/2022,14.05
26/09/2022,14.25
23/09/2022,14.60
22/09/2022,14.80
21/09/2022,14.65
20/09/2022,14.95
19/09/2022,14.55
16/09/2022,14.85
15/09/2022,15.15
14/09/2022,14.75
13/09/2022,14.80
12/09/2022,14.65
09/09/2022,14.85
08/09/2022,15.15
07/09/2022,16.25
06/09/2022,16.85
05/09/2022,17.00
31/08/2022,17.25
30/08/2022,17.10
29/08/2022,17.05
26/08/2022,17.65
25/08/2022,17.90
24/08/2022,17.90
23/08/2022,17.45
22/08/2022,17.40
19/08/2022,17.40
18/08/2022,17.35
17/08/2022,17.35
16/08/2022,17.70
15/08/2022,17.65
12/08/2022,17.85
11/08/2022,17.80
10/08/2022,18.10
09/08/2022,17.55
08/08/2022,17.60
05/08/2022,17.80
04/08/2022,17.10
03/08/2022,17.05
02/08/2022,16.95
01/08/2022,16.95
29/07/2022,16.50
28/07/2022,16.10
27/07/2022,15.95
26/07/2022,16.20
25/07/2022,16.35
22/07/2022,16.60
21/07/2022,16.45
20/07/2022,16.60
19/07/2022,16.40
18/07/2022,16.40
15/07/2022,16.40
14/07/2022,16.45
13/07/2022,16.45
12/07/2022,16.35
11/07/2022,16.30
08/07/2022,16.35
07/07/2022,15.65
06/07/2022,15.60
05/07/2022,15.45
04/07/2022,15.75
01/07/2022,15.60
30/06/2022,15.50
29/06/2022,16.05
28/06/2022,16.50
27/06/2022,16.30
24/06/2022,15.25
23/06/2022,15.30
22/06/2022,15.35
21/06/2022,14.95
20/06/2022,14.60
17/06/2022,15.60
16/06/2022,16.25
15/06/2022,16.15
14/06/2022,17.10
13/06/2022,17.10
10/06/2022,18.00
09/06/2022,18.50
08/06/2022,18.05
07/06/2022,17.65
06/06/2022,17.90
03/06/2022,18.05
02/06/2022,18.00
01/06/2022,18.60
31/05/2022,18.65
30/05/2022,19.15
27/05/2022,18.60
26/05/2022,17.85
25/05/2022,17.80
24/05/2022,17.40
23/05/2022,17.85
20/05/2022,18.40
19/05/2022,18.35
18/05/2022,18.80
17/05/2022,19.20
16/05/2022,18.10
13/05/2022,17.75
12/05/2022,19.00
11/05/2022,20.30
10/05/2022,20.10
09/05/2022,19.55
06/05/2022,21.00
05/05/2022,21.95
04/05/2022,22.30
29/04/2022,21.75
28/04/2022,21.70
27/04/2022,21.85
26/04/2022,21.50
25/04/2022,20.70
22/04/2022,21.90
21/04/2022,22.30
20/04/2022,22.55
19/04/2022,22.30
18/04/2022,22.55
15/04/2022,23.40
14/04/2022,24.00
13/04/2022,23.85
12/04/2022,24.00
08/04/2022,24.10
07/04/2022,24.70
06/04/2022,24.95
05/04/2022,25.20
04/04/2022,24.90
01/04/2022,25.05
31/03/2022,24.90
30/03/2022,24.90
29/03/2022,25.10
28/03/2022,24.95
25/03/2022,25.35
24/03/2022,25.45
23/03/2022,25.20
22/03/2022,25.30
21/03/2022,25.20
18/03/2022,25.35
17/03/2022,25.60
16/03/2022,25.70
15/03/2022,26.15
14/03/2022,26.15
11/03/2022,25.80
10/03/2022,26.20
09/03/2022,25.00
08/03/2022,25.20
07/03/2022,24.90
04/03/2022,25.40
03/03/2022,25.00
02/03/2022,25.00
01/03/2022,25.40
28/02/2022,25.35
25/02/2022,25.90
24/02/2022,25.65
23/02/2022,26.25
22/02/2022,26.10
21/02/2022,26.80
18/02/2022,27.30
17/02/2022,26.80
16/02/2022,26.35
15/02/2022,26.25
14/02/2022,26.40
11/02/2022,26.20
10/02/2022,26.40
09/02/2022,26.25
08/02/2022,26.00
07/02/2022,26.00
28/01/2022,24.30
27/01/2022,24.00
26/01/2022,24.10
25/01/2022,23.35
24/01/2022,22.80
21/01/2022,22.70
20/01/2022,22.75
19/01/2022,22.70
18/01/2022,22.95
17/01/2022,22.90
14/01/2022,22.70
13/01/2022,22.65
12/01/2022,22.95
11/01/2022,23.05
10/01/2022,23.20
07/01/2022,22.65
06/01/2022,22.85
05/01/2022,23.10
04/01/2022,23.30
